[2025-12-01 00:51:26] [DEBUG] unknown:0 | CartController::add() called | Context: {"POST_data":{"id":"10","qty":"1"},"SERVER_data":{"HTTP_X_REQUESTED_WITH":"XMLHttpRequest","REQUEST_METHOD":"POST","CONTENT_TYPE":"multipart/form-data; boundary=----WebKitFormBoundarywU4CyB3OtaylUL0q"}}
[2025-12-01 00:51:26] [DEBUG] unknown:0 | Processing add to cart | Context: {"book_id":"10","quantity":1}
[2025-12-01 00:51:26] [DEBUG] unknown:0 | Database connection successful
[2025-12-01 00:51:26] [DEBUG] unknown:0 | Database query result | Context: {"book_id":"10","book_found":true,"book_data":{"id":10,"ten_sach":"Lược Sử Loài Người","tac_gia":"Yuval Noah Harari","gia_goc":"220000.00","gia_khuyen_mai":"176000.00","phan_tram_giam":20,"so_luong":35,"mo_ta":"Một cái nhìn toàn cảnh về lịch sử phát triển của loài người từ thời nguyên thủy đến hiện đại.","anh_bia":"luocsuloainguoi.jpg","id_danh_muc":5,"ngay_tao":"2025-11-19 23:28:53","ngay_cap_nhat":"2025-11-19 23:28:53"}}
[2025-12-01 00:51:26] [DEBUG] unknown:0 | Book added to cart | Context: {"book_id":"10","book_title":"Lược Sử Loài Người","book_author":"Yuval Noah Harari","quantity":1,"cart_total":2}
[2025-12-01 00:51:26] [DEBUG] unknown:0 | Sending JSON response | Context: {"response":{"success":true,"message":"Đã thêm sản phẩm vào giỏ hàng thành công!","cartCount":2,"subtotal":186000,"finalTotal":186000,"discount":0,"lineTotal":176000},"cart_count":2}
[2025-12-01 00:51:27] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"lpup50phpljc5rssr9ank9707s"}
[2025-12-01 00:51:27] [DEBUG] unknown:0 | CartController::add() called | Context: {"POST_data":{"id":"9","qty":"1"},"SERVER_data":{"HTTP_X_REQUESTED_WITH":"XMLHttpRequest","REQUEST_METHOD":"POST","CONTENT_TYPE":"multipart/form-data; boundary=----WebKitFormBoundaryi7cp9tMpj64EsR4F"}}
[2025-12-01 00:51:27] [DEBUG] unknown:0 | Processing add to cart | Context: {"book_id":"9","quantity":1}
[2025-12-01 00:51:27] [DEBUG] unknown:0 | Database connection successful
